,state,population_total,density_urban,density_rural,series_type_x,year_x,GDP contribution,overall CPI,year_y,cagr_mean,cagr_median,gini coefficient,mean,median,poverty rate,series_type_y,year,GDP level,B40 (max income),urbanisation rate,GDP per capita,crime rate
0,Johor,4009670,3103484,906186,contribution,2020,9513000,126.3,2019,4.850713736,4.286228991,0.36648001,8013,6427,3.9,level,2020,1.28074E+11,5400,0.773999855,31941.17321,23
1,Kedah,2131427,1435341,696086,contribution,2020,3420000,120.3583333,2019,3.501506585,4.221724209,0.35385171,5522,4325,8.8,level,2020,46042458000,3710,0.673417856,21601.70534,33.8
2,Kelantan,1792501,790412,1002089,contribution,2020,1871000,122.475,2019,4.848836569,4.870208579,0.3784964,4874,3563,12.4,level,2020,25187708000,3030,0.440954845,14051.71211,23.3
3,Melaka,998428,907937,90491,contribution,2020,3048000,120.8583333,2019,4.081867662,2.667441219,0.38258661,7741,6054,3.9,level,2020,41030449000,5110,0.909366524,41095.05042,30.9
4,Negeri Sembilan,1199974,831706,368268,contribution,2020,3442000,123.5916667,2019,4.348774209,2.964013908,0.39066324,6707,5005,4.3,level,2020,46336101000,4210,0.693103351,38614.25414,26.9
5,Pahang,1591295,839635,751660,contribution,2020,4077000,121.075,2019,4.095352585,3.651336527,0.32981765,5667,4440,4.3,level,2020,54885462000,3900,0.52764258,34491.06671,34.2
6,Perak,2496041,1797123,698918,contribution,2020,5516000,119.1,2019,3.615227211,2.150763981,0.37736744,5645,4273,7.3,level,2020,74263987000,3660,0.719989375,29752.71119,29.6
7,Perlis,284885,153297,131588,contribution,2020,430000,116.4583333,2019,3.044936615,2.959799423,0.33392506,5476,4594,3.9,level,2020,5785067000,3870,0.538101339,20306.67462,27.7
8,Pulau Pinang,1740405,1610378,130027,contribution,2020,6885000,124.8916667,2019,4.605810506,4.381902698,0.35938045,7774,6169,1.9,level,2020,92690682000,5310,0.925289229,53258.11061,53.6
9,Sabah,3418785,1869049,1549736,contribution,2020,5782000,114.6166667,2019,2.348234513,0.995298853,0.39744978,5745,4235,19.5,level,2020,77840052000,2490,0.546699778,22768.33787,11.9
10,Sarawak,2453677,1399264,1054413,contribution,2020,9475000,117.475,2019,3.36506595,2.916386895,0.3867341,5959,4544,9,level,2020,1.27556E+11,3720,0.570272289,51985.76993,24
11,Selangor,6994423,6702519,291904,contribution,2020,24275000,126.7916667,2019,4.488976836,4.262111291,0.39267962,10827,8210,1.2,level,2020,3.26805E+11,6960,0.958266179,46723.69687,54.1
12,Terengganu,1149440,737982,411458,contribution,2020,2525000,119.525,2019,5.512081758,5.55178267,0.33487816,6815,5545,6.1,level,2020,33994032000,4720,0.642036122,29574.42929,18.9
13,W.P. Kuala Lumpur,1982112,1982112,0,contribution,2020,16152000,124.7333333,2019,4.187474091,5.024883469,0.35048035,13257,10549,0.2,level,2020,2.17447E+11,9150,1,109704.7205,70.6
14,W.P. Labuan,95120,84605,10515,contribution,2020,566000,117.8333333,2019,0.584931907,4.208991878,0.33349574,8319,6726,3.1,level,2020,7613361000,5910,0.889455425,80039.53953,11.9
15,W.P. Putrajaya,109202,109202,0,contribution,2020,0,124.7333333,2019,3.513789924,6.25482417,0.36122522,12840,9983,0.4,level,2020,0,8650,1,0,70.6
